Diatoms Image,Pore Density (pores/um²),Pore Mean Area (nm²),Pore to Total Area Ratio (%),Expected Gaussian Value (nm²),Gaussian Sigma (nm²),Variance (sigma²),Type
Wild048_CNN2 processed_pores.png,330.5180342,286.2020498,9.459493886,297.1196733,33.48922798,1121.528391,WILD
Wild052_CNN2 processed_pores.png,310.1301454,391.113669,12.1296139,412.8492304,53.52614564,2865.048267,WILD
Wild053_CNN2 processed_pores.png,322.2184952,502.2517566,16.18348053,532.3491711,63.13072861,3985.488895,WILD
Wild060_CNN2 processed_pores.png,390.3900589,333.494058,13.01927649,354.9933171,72.88831925,5312.707083,WILD
Wild061_CNN2 processed_pores.png,311.0283628,439.8885694,13.68178216,454.1208838,68.2305278,4655.404923,WILD
Wild062_CNN2 processed_pores.png,459.2204484,424.1974834,19.48001585,435.9388881,63.86902976,4079.252963,WILD
Wild063_CNN2 processed_pores.png,214.5572209,470.4099769,10.09298573,506.4614132,57.89469167,3351.795324,WILD
Wild076_CNN2 processed_pores.png,304.6387505,487.2202807,14.84261775,521.6160164,79.40837581,6305.690149,WILD
Wild081_CNN2 processed_pores.png,355.2242634,350.7468927,12.45938066,361.0315862,65.88527111,4340.868949,WILD
Wild091_CNN2 processed_pores.png,392.0583925,315.7363379,12.37870811,322.3212223,50.13030431,2513.04741,WILD
Wild093_CNN2 processed_pores.png,280.3061311,425.5727378,11.92906476,448.024626,71.76759141,5150.587177,WILD
Wild095_CNN2 processed_pores.png,266.0661987,484.5585409,12.8924649,493.6852745,73.3426389,5379.142682,WILD
Wild114_CNN2 processed_pores.png,202.6217165,481.4744448,9.755717844,492.9991371,48.02943043,2306.826188,WILD
Wild116_CNN2 processed_pores.png,299.4190161,423.402621,12.67747962,436.0279725,88.80052951,7885.534041,WILD
Wild121_CNN2 processed_pores.png,326.6046447,365.6174707,11.94123641,386.1882301,83.88895911,7037.357461,WILD
Wild125_CNN2 processed_pores.png,272.7868475,500.0511699,13.64073822,517.4591331,85.13827294,7248.525519,WILD
Wild130_CNN2 processed_pores.png,341.8813689,468.6377736,16.02185236,498.1172655,107.9074072,11644.00854,WILD
